,location,company,title,salary
138,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
139,"Houston, TX",Preferred Sands,Research Scientist,
140,United States,Predictive Science,Data Scientist,
141,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
142,United States,Predictive Science,Data Scientist,
143,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
144,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
145,United States,Predictive Science,Data Scientist,
146,"Houston, TX",Preferred Sands,Research Scientist,
147,"Houston, TX",Invesco,Lead Data Scientist,
148,United States,Predictive Science,Data Scientist,
149,"Houston, TX",Preferred Sands,Research Scientist,
150,"Houston, TX",Invesco,Lead Data Scientist,
151,United States,Predictive Science,Data Scientist,
152,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
153,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
154,"Houston, TX",Invesco,Lead Data Scientist,
155,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
156,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
157,"Houston, TX",Preferred Sands,Research Scientist,
158,"Houston, TX",Invesco,Lead Data Scientist,
159,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
160,"Houston, TX",Preferred Sands,Research Scientist,
161,"Houston, TX",Invesco,Lead Data Scientist,
162,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
163,"Houston, TX",Invesco,Lead Data Scientist,
164,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
165,"Houston, TX",Preferred Sands,Research Scientist,
166,"Houston, TX",Invesco,Lead Data Scientist,
167,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
168,"Houston, TX",Preferred Sands,Research Scientist,
169,"Houston, TX",Invesco,Lead Data Scientist,
170,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
171,"Houston, TX",Preferred Sands,Research Scientist,
172,United States,Predictive Science,Data Scientist,
173,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
174,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
175,United States,Predictive Science,Data Scientist,
176,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
177,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
178,"Houston, TX",Invesco,Lead Data Scientist,
179,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
180,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
181,United States,Predictive Science,Data Scientist,
182,"Houston, TX",Invesco,Lead Data Scientist,
183,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
184,United States,Predictive Science,Data Scientist,
185,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
186,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
187,United States,Predictive Science,Data Scientist,
188,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
189,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
190,United States,Predictive Science,Data Scientist,
191,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
192,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
193,"Houston, TX",Preferred Sands,Research Scientist,
194,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
195,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
196,"Houston, TX",Preferred Sands,Research Scientist,
197,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
198,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
199,"Houston, TX",Preferred Sands,Research Scientist,
200,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
201,"Houston, TX",Invesco,Lead Data Scientist,
202,"Houston, TX",Preferred Sands,Research Scientist,
203,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
204,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
205,"Houston, TX",Preferred Sands,Research Scientist,
206,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
207,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
208,United States,Predictive Science,Data Scientist,
209,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
210,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
211,United States,Predictive Science,Data Scientist,
212,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
213,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
214,United States,Predictive Science,Data Scientist,
215,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
216,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
217,United States,Predictive Science,Data Scientist,
218,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
219,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
220,"Houston, TX",Preferred Sands,Research Scientist,
221,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
222,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
223,"Houston, TX",Preferred Sands,Research Scientist,
224,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
225,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
226,"Houston, TX",Preferred Sands,Research Scientist,
227,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
228,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
229,"Houston, TX",Invesco,Lead Data Scientist,
230,United States,Predictive Science,Data Scientist,
231,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
232,"Houston, TX",Preferred Sands,Research Scientist,
233,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
234,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
235,"Houston, TX",Preferred Sands,Research Scientist,
236,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
237,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
238,"Houston, TX",Preferred Sands,Research Scientist,
239,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
240,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
241,"Houston, TX",Preferred Sands,Research Scientist,
242,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
243,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
244,"Houston, TX",Preferred Sands,Research Scientist,
245,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
246,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
247,"Houston, TX",Preferred Sands,Research Scientist,
248,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
249,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
250,"Houston, TX",Preferred Sands,Research Scientist,
251,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
252,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
253,"Houston, TX",Preferred Sands,Research Scientist,
254,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
255,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
256,"Houston, TX",Preferred Sands,Research Scientist,
257,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
258,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
259,"Houston, TX",Preferred Sands,Research Scientist,
260,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
261,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
262,"Houston, TX",Preferred Sands,Research Scientist,
263,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
264,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
265,United States,Predictive Science,Data Scientist,
266,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
267,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
268,"Houston, TX",Invesco,Lead Data Scientist,
269,United States,Predictive Science,Data Scientist,
270,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
271,"Houston, TX",Invesco,Lead Data Scientist,
272,United States,Predictive Science,Data Scientist,
273,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
274,"Houston, TX",Invesco,Lead Data Scientist,
275,United States,Predictive Science,Data Scientist,
276,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
277,"Houston, TX",Invesco,Lead Data Scientist,
278,United States,Predictive Science,Data Scientist,
279,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
280,"Houston, TX",Preferred Sands,Research Scientist,
281,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
282,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
283,"Houston, TX",Preferred Sands,Research Scientist,
284,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
285,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
286,"Houston, TX",Preferred Sands,Research Scientist,
287,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
288,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
289,"Houston, TX",Invesco,Lead Data Scientist,
290,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
291,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
292,United States,Predictive Science,Data Scientist,
293,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
294,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
295,United States,Predictive Science,Data Scientist,
296,"Houston, TX",Invesco,Lead Data Scientist,
297,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
298,United States,Predictive Science,Data Scientist,
299,"Houston, TX",Invesco,Lead Data Scientist,
300,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
301,United States,Predictive Science,Data Scientist,
302,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
303,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
304,United States,Predictive Science,Data Scientist,
305,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
306,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
307,United States,Predictive Science,Data Scientist,
308,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
309,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
310,United States,Predictive Science,Data Scientist,
311,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
312,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
313,United States,Predictive Science,Data Scientist,
314,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
315,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
316,United States,Predictive Science,Data Scientist,
317,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
318,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
319,United States,Predictive Science,Data Scientist,
320,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
321,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
322,United States,Predictive Science,Data Scientist,
323,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
324,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
325,United States,Predictive Science,Data Scientist,
326,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
327,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
328,United States,Predictive Science,Data Scientist,
329,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
330,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
331,United States,Predictive Science,Data Scientist,
332,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
333,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
334,United States,Predictive Science,Data Scientist,
335,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
336,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
337,United States,Predictive Science,Data Scientist,
338,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
339,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
340,United States,Predictive Science,Data Scientist,
341,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
342,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
343,United States,Predictive Science,Data Scientist,
344,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
345,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
346,United States,Predictive Science,Data Scientist,
347,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
348,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
349,United States,Predictive Science,Data Scientist,
350,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
351,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
352,United States,Predictive Science,Data Scientist,
353,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
354,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
355,United States,Predictive Science,Data Scientist,
356,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
357,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
358,United States,Predictive Science,Data Scientist,
359,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
360,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
361,United States,Predictive Science,Data Scientist,
362,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
363,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
364,United States,Predictive Science,Data Scientist,
365,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
366,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
367,United States,Predictive Science,Data Scientist,
368,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
369,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
370,United States,Predictive Science,Data Scientist,
371,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
372,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
373,United States,Predictive Science,Data Scientist,
374,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
375,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
376,United States,Predictive Science,Data Scientist,
377,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
378,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
379,United States,Predictive Science,Data Scientist,
380,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
381,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
382,United States,Predictive Science,Data Scientist,
383,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
384,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
385,United States,Predictive Science,Data Scientist,
386,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
387,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
388,United States,Predictive Science,Data Scientist,
389,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
390,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
391,United States,Predictive Science,Data Scientist,
392,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
393,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
394,United States,Predictive Science,Data Scientist,
395,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
396,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
397,United States,Predictive Science,Data Scientist,
398,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
399,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
400,United States,Predictive Science,Data Scientist,
