,location,company,title,salary
0,"Houston, TX",Preferred Sands,Research Scientist,
1,"Houston, TX",Invesco,Lead Data Scientist,
2,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
3,United States,Predictive Science,Data Scientist,
4,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
5,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
6,United States,Predictive Science,Data Scientist,
7,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
8,"Houston, TX",Invesco,Lead Data Scientist,
9,United States,Predictive Science,Data Scientist,
10,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
11,"Houston, TX",Invesco,Lead Data Scientist,
12,United States,Predictive Science,Data Scientist,
13,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
14,"Houston, TX",Invesco,Lead Data Scientist,
15,"Houston, TX",Invesco,Lead Data Scientist,
16,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
17,United States,Predictive Science,Data Scientist,
18,"Houston, TX",Invesco,Lead Data Scientist,
19,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
20,United States,Predictive Science,Data Scientist,
21,"Houston, TX",Invesco,Lead Data Scientist,
22,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
23,United States,Predictive Science,Data Scientist,
24,"Houston, TX",Invesco,Lead Data Scientist,
25,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
26,United States,Predictive Science,Data Scientist,
27,"Houston, TX",Invesco,Lead Data Scientist,
28,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
29,United States,Predictive Science,Data Scientist,
30,"Houston, TX",Invesco,Lead Data Scientist,
31,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
32,United States,Predictive Science,Data Scientist,
33,"Houston, TX",Invesco,Lead Data Scientist,
34,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
35,United States,Predictive Science,Data Scientist,
36,"Houston, TX",Invesco,Lead Data Scientist,
37,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
38,United States,Predictive Science,Data Scientist,
39,United States,Predictive Science,Data Scientist,
40,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
41,"Houston, TX",Invesco,Lead Data Scientist,
42,United States,Predictive Science,Data Scientist,
43,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
44,"Houston, TX",Invesco,Lead Data Scientist,
45,"Houston, TX",Invesco,Lead Data Scientist,
46,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
47,United States,Predictive Science,Data Scientist,
48,"Houston, TX",Invesco,Lead Data Scientist,
49,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
50,United States,Predictive Science,Data Scientist,
51,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
52,"Houston, TX",Preferred Sands,Research Scientist,
53,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
54,"Houston, TX",Invesco,Lead Data Scientist,
55,"Houston, TX",alliantgroup,Project Associate,
56,"Houston, TX",MD Anderson Cancer Center,Institute Assoc Scientist III - Neurodegeneration Consort,
57,"Houston, TX 77058",Cyberonics,Quality Statistician,
58,"Houston, TX",MD Anderson Cancer Center,Institute Associate Scientist IV - Neuroinflammation Drug Di...,
59,"Houston, TX 77002",Career Insiders,Data Scientist,
60,"Houston, TX 77079","Nesco Resource, LLC",Data Scientist,
61,United States,Predictive Science,Data Scientist,
62,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
63,"Houston, TX",Invesco,Lead Data Scientist,
64,United States,Predictive Science,Data Scientist,
65,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
66,"Houston, TX",Invesco,Lead Data Scientist,
67,United States,Predictive Science,Data Scientist,
68,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
69,"Houston, TX",Preferred Sands,Research Scientist,
70,United States,Predictive Science,Data Scientist,
71,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
72,"Houston, TX",Invesco,Lead Data Scientist,
73,"Houston, TX",Invesco,Lead Data Scientist,
74,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
75,"Houston, TX",Preferred Sands,Research Scientist,
76,United States,Predictive Science,Data Scientist,
77,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
78,"Houston, TX",Invesco,Lead Data Scientist,
79,United States,Predictive Science,Data Scientist,
80,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
81,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
82,United States,Predictive Science,Data Scientist,
83,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
84,"Houston, TX",Invesco,Lead Data Scientist,
85,"Houston, TX",Invesco,Lead Data Scientist,
86,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
87,United States,Predictive Science,Data Scientist,
88,"Houston, TX",Invesco,Lead Data Scientist,
89,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
90,United States,Predictive Science,Data Scientist,
91,United States,Predictive Science,Data Scientist,
92,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
93,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
94,United States,Predictive Science,Data Scientist,
95,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
96,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
97,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
98,"Houston, TX",Invesco,Lead Data Scientist,
99,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
100,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
101,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
102,United States,Predictive Science,Data Scientist,
103,United States,Predictive Science,Data Scientist,
104,"Houston, TX",Invesco,Lead Data Scientist,
105,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
106,United States,Predictive Science,Data Scientist,
107,"Houston, TX",Invesco,Lead Data Scientist,
108,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
109,United States,Predictive Science,Data Scientist,
110,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
111,"Houston, TX",Invesco,Lead Data Scientist,
112,"Houston, TX",Preferred Sands,Research Scientist,
113,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
114,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
115,United States,Predictive Science,Data Scientist,
116,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
117,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
118,United States,Predictive Science,Data Scientist,
119,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
120,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
121,United States,Predictive Science,Data Scientist,
122,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
123,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
124,United States,Predictive Science,Data Scientist,
125,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
126,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
127,United States,Predictive Science,Data Scientist,
128,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
129,"Houston, TX",Invesco,Lead Data Scientist,
130,United States,Predictive Science,Data Scientist,
131,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
132,"Houston, TX",Invesco,Lead Data Scientist,
133,United States,Predictive Science,Data Scientist,
134,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
135,"Houston, TX 77079",Johnson Service Group Inc.,"Data Analysis, Mining and Modeling Specialist (8386)",
136,United States,Predictive Science,Data Scientist,
137,"Houston, TX 77057",Wood Mackenzie,"Research Analyst, US Upstream Research",
